feedback,sentiment,timestamp,department,patient_age_group,visit_type
Very comfortable environment.,2,2024-03-22 11:26:59.456737,Neurology,46-60,Emergency
"Excessive waiting time. Also, The surgeon was not very helpful. Also, Not happy with the results.",0,2024-03-22 11:26:59.457770,Cardiology,18-30,Emergency
Treatment was as expected.,1,2024-03-22 11:26:59.459029,Emergency,75+,Follow-up
"Had to wait too long. Also, The staff member seemed rushed and inattentive.",0,2024-03-22 11:26:59.460184,Pediatrics,18-30,Follow-up
The surgeon didn't address my concerns! Excessive waiting time! Poor maintenance of the premises.,0,2024-03-22 11:26:59.460312,Neurology,31-45,Procedure
The wait was reasonable.,1,2024-03-22 11:26:59.461407,General Medicine,18-30,Consultation
"Minimal waiting time. Moreover, The procedure went very well.",2,2024-03-22 11:26:59.462504,Obstetrics,46-60,Consultation
The specialist was extremely professional and caring.,2,2024-03-22 11:26:59.462922,Neurology,75+,Emergency
The waiting time was frustrating. Poor treatment experience. The facility needs updating.,0,2024-03-22 11:26:59.464561,Oncology,31-45,Routine Checkup
"Very comfortable environment. Also, Minimal waiting time. Also, The physician was extremely professional and caring.",2,2024-03-22 11:26:59.468292,Emergency,61-75,Procedure
Average waiting time.,1,2024-03-22 11:26:59.470196,Emergency,75+,Consultation
"Exceptional service from the receptionist. Additionally, No delays in the appointment.",2,2024-03-22 11:26:59.470520,Pediatrics,75+,Consultation
"Regular facility conditions. Additionally, The wait was reasonable. Additionally, The specialist was okay.",1,2024-03-22 11:26:59.471115,Orthopedics,18-30,Consultation
No delays in the appointment.,2,2024-03-22 11:26:59.472372,Emergency,31-45,Routine Checkup
Minimal waiting time! The care team took time to explain everything clearly! Completely satisfied with the care received.,2,2024-03-22 11:26:59.474602,Oncology,18-30,Procedure
"The medical team was not very helpful. Additionally, Uncomfortable environment.",0,2024-03-22 11:26:59.475270,General Medicine,18-30,Follow-up
"The wait was reasonable. Also, The healthcare provider was okay. Also, Regular facility conditions.",1,2024-03-22 11:26:59.478263,Orthopedics,31-45,Consultation
"Unsatisfactory treatment outcome. Moreover, Excessive waiting time. Moreover, Poor maintenance of the premises.",0,2024-03-22 11:26:59.479830,Surgery,31-45,Procedure
Very comfortable environment! Got seen right away! Great outcome from the treatment.,2,2024-03-22 11:26:59.483386,Emergency,18-30,Emergency
"The facility was clean and modern. Also, physician provided excellent care and attention.",2,2024-03-22 11:26:59.483759,Oncology,31-45,Follow-up
State-of-the-art equipment.,2,2024-03-22 11:26:59.487038,Obstetrics,46-60,Emergency
Spent hours waiting.,0,2024-03-22 11:26:59.490410,Pediatrics,75+,Consultation
The healthcare provider was present when needed. Treatment was as expected.,1,2024-03-23 11:26:59.444293,Neurology,46-60,Emergency
Unacceptable delays. The care team didn't address my concerns. The facility needs updating.,0,2024-03-23 11:26:59.445988,Cardiology,31-45,Consultation
Basic but functional facility.,1,2024-03-23 11:26:59.447350,Cardiology,31-45,Emergency
Disappointed with the physician's attitude.,0,2024-03-23 11:26:59.450475,Orthopedics,75+,Consultation
nurse did their job as expected.,1,2024-03-23 11:26:59.453839,Emergency,46-60,Routine Checkup
"Excessive waiting time. Moreover, Poor maintenance of the premises.",0,2024-03-23 11:26:59.454881,Pediatrics,18-30,Consultation
"Excellent facilities. Additionally, Impressed with how quickly I was seen. Additionally, Great outcome from the treatment.",2,2024-03-23 11:26:59.458064,Surgery,18-30,Procedure
Standard hospital environment.,1,2024-03-23 11:26:59.460651,Emergency,31-45,Emergency
Very effective treatment! The facility was clean and modern.,2,2024-03-23 11:26:59.461202,Cardiology,31-45,Consultation
The staff member was okay! The wait was reasonable! Standard procedure.,1,2024-03-23 11:26:59.461570,Cardiology,75+,Procedure
"The nurse was present when needed. Moreover, Acceptable cleanliness. Moreover, The treatment was okay.",1,2024-03-23 11:26:59.466423,General Medicine,61-75,Routine Checkup
No delays in the appointment. The procedure went very well.,2,2024-03-23 11:26:59.467328,General Medicine,61-75,Emergency
"Disappointed with the specialist's attitude. Additionally, Not happy with the results.",0,2024-03-23 11:26:59.469860,Obstetrics,31-45,Emergency
"Regular interaction with the staff member. Moreover, Standard hospital environment. Moreover, Waited as expected.",1,2024-03-23 11:26:59.471521,Obstetrics,46-60,Routine Checkup
"Not happy with the results. Moreover, Poor maintenance of the premises.",0,2024-03-23 11:26:59.472066,Pediatrics,61-75,Follow-up
"Very efficient process. Moreover, Excellent treatment results.",2,2024-03-23 11:26:59.472683,Surgery,46-60,Consultation
"Regular facility conditions. Additionally, Regular interaction with the doctor. Additionally, Standard procedure.",1,2024-03-23 11:26:59.478221,General Medicine,46-60,Routine Checkup
"Very comfortable environment. Moreover, The doctor took time to explain everything clearly.",2,2024-03-23 11:26:59.479992,Orthopedics,61-75,Emergency
"Completely satisfied with the care received. Additionally, Impressed with how quickly I was seen. Additionally, State-of-the-art equipment.",2,2024-03-23 11:26:59.483832,Neurology,18-30,Emergency
Unsatisfactory treatment outcome.,0,2024-03-23 11:26:59.484823,Oncology,75+,Follow-up
"Cleanliness issues in the facility. Moreover, The staff member was not very helpful. Moreover, Not happy with the results.",0,2024-03-23 11:26:59.485420,Neurology,46-60,Emergency
No delays in the appointment! Very comfortable environment.,2,2024-03-23 11:26:59.486976,Oncology,31-45,Routine Checkup
Poor communication from the receptionist.,0,2024-03-23 11:26:59.487009,Neurology,46-60,Routine Checkup
Cleanliness issues in the facility. Unsatisfactory treatment outcome.,0,2024-03-23 11:26:59.488871,Surgery,18-30,Procedure
"Acceptable cleanliness. Moreover, Normal wait times.",1,2024-03-23 11:26:59.492430,Neurology,46-60,Procedure
"Standard hospital environment. Also, Waited as expected.",1,2024-03-24 11:26:59.444732,General Medicine,18-30,Emergency
Waited as expected.,1,2024-03-24 11:26:59.446374,Oncology,46-60,Routine Checkup
"The care team was not very helpful. Moreover, The facility needs updating. Moreover, Not happy with the results.",0,2024-03-24 11:26:59.447924,Oncology,75+,Consultation
"The facility needs updating. Also, The treatment wasn't effective. Also, The surgeon seemed rushed and inattentive.",0,2024-03-24 11:26:59.449634,Neurology,75+,Emergency
The treatment was okay.,1,2024-03-24 11:26:59.451064,Cardiology,61-75,Routine Checkup
nurse provided excellent care and attention. Very comfortable environment. Got seen right away.,2,2024-03-24 11:26:59.451778,Oncology,75+,Procedure
The treatment wasn't effective. Outdated equipment. Had to wait too long.,0,2024-03-24 11:26:59.452440,Obstetrics,31-45,Consultation
"The procedure went very well. Additionally, Very comfortable environment.",2,2024-03-24 11:26:59.457006,Obstetrics,61-75,Consultation
"The facility was clean and modern. Also, Got seen right away. Also, Excellent treatment results.",2,2024-03-24 11:26:59.458868,Obstetrics,46-60,Follow-up
The facility was clean and modern! care team provided excellent care and attention! Completely satisfied with the care received.,2,2024-03-24 11:26:59.459045,Obstetrics,18-30,Routine Checkup
Very effective treatment.,2,2024-03-24 11:26:59.460977,Obstetrics,75+,Emergency
"The surgeon seemed rushed and inattentive. Also, Unsatisfactory treatment outcome.",0,2024-03-24 11:26:59.463740,Cardiology,61-75,Emergency
"Very efficient process. Additionally, Excellent treatment results. Additionally, State-of-the-art equipment.",2,2024-03-24 11:26:59.464716,General Medicine,31-45,Routine Checkup
Excellent facilities! Exceptional service from the care team! Got seen right away.,2,2024-03-24 11:26:59.468261,Orthopedics,46-60,Follow-up
"Waited as expected. Also, The treatment was okay. Also, Regular facility conditions.",1,2024-03-24 11:26:59.474227,Neurology,61-75,Follow-up
"Excellent facilities. Also, Very effective treatment.",2,2024-03-24 11:26:59.477784,Pediatrics,75+,Procedure
The receptionist was okay. Waited as expected. Regular treatment process.,1,2024-03-24 11:26:59.478309,Emergency,61-75,Procedure
"Regular interaction with the nurse. Additionally, Basic but functional facility.",1,2024-03-24 11:26:59.482650,Pediatrics,46-60,Follow-up
The staff member was okay! The treatment was okay.,1,2024-03-24 11:26:59.484142,Pediatrics,61-75,Routine Checkup
"Very effective treatment. Additionally, Very comfortable environment. Additionally, The receptionist was extremely professional and caring.",2,2024-03-24 11:26:59.484366,Obstetrics,18-30,Follow-up
"Completely satisfied with the care received. Additionally, Very efficient process. Additionally, Exceptional service from the medical team.",2,2024-03-24 11:26:59.484843,Pediatrics,46-60,Follow-up
Average waiting time. Regular facility conditions. Treatment was as expected.,1,2024-03-24 11:26:59.485603,Oncology,61-75,Follow-up
Very impressed with the doctor's expertise. Minimal waiting time. Very comfortable environment.,2,2024-03-24 11:26:59.486699,General Medicine,75+,Routine Checkup
State-of-the-art equipment. Exceptional service from the nurse.,2,2024-03-24 11:26:59.487290,Oncology,18-30,Routine Checkup
Excessive waiting time.,0,2024-03-24 11:26:59.487837,Cardiology,61-75,Procedure
"The procedure went very well. Moreover, Well-maintained hospital environment. Moreover, The receptionist was extremely professional and caring.",2,2024-03-24 11:26:59.490431,Pediatrics,75+,Consultation
"Basic but functional facility. Moreover, The specialist was okay.",1,2024-03-24 11:26:59.492425,General Medicine,18-30,Consultation
Excellent treatment results.,2,2024-03-24 11:26:59.492618,Cardiology,31-45,Procedure
Got seen right away! Exceptional service from the receptionist! Very effective treatment.,2,2024-03-25 11:26:59.446803,Oncology,75+,Procedure
staff member did their job as expected. Waited as expected. Acceptable cleanliness.,1,2024-03-25 11:26:59.447191,Pediatrics,75+,Follow-up
"Standard procedure. Moreover, Normal wait times. Moreover, Acceptable cleanliness.",1,2024-03-25 11:26:59.448164,Obstetrics,75+,Consultation
Unacceptable delays.,0,2024-03-25 11:26:59.448894,Surgery,31-45,Follow-up
"Spent hours waiting. Also, The treatment wasn't effective.",0,2024-03-25 11:26:59.449703,Orthopedics,61-75,Consultation
Minimal waiting time.,2,2024-03-25 11:26:59.450558,General Medicine,31-45,Routine Checkup
Treatment was as expected! Normal wait times! Basic but functional facility.,1,2024-03-25 11:26:59.453081,General Medicine,18-30,Follow-up
Exceptional service from the medical team.,2,2024-03-25 11:26:59.455371,Obstetrics,61-75,Emergency
Regular facility conditions.,1,2024-03-25 11:26:59.456904,Orthopedics,75+,Emergency
Outdated equipment.,0,2024-03-25 11:26:59.457172,Oncology,31-45,Procedure
Spent hours waiting.,0,2024-03-25 11:26:59.462146,Oncology,75+,Procedure
The receptionist was present when needed.,1,2024-03-25 11:26:59.463302,Obstetrics,75+,Procedure
The receptionist was present when needed. Standard hospital environment. Normal wait times.,1,2024-03-25 11:26:59.468543,Emergency,75+,Follow-up
Minimal waiting time.,2,2024-03-25 11:26:59.471038,Surgery,46-60,Consultation
Unacceptable delays.,0,2024-03-25 11:26:59.472042,Obstetrics,61-75,Emergency
Had to wait too long.,0,2024-03-25 11:26:59.472342,Neurology,75+,Consultation
Spent hours waiting.,0,2024-03-25 11:26:59.478516,Emergency,31-45,Routine Checkup
"Very comfortable environment. Additionally, Got seen right away.",2,2024-03-25 11:26:59.479023,Obstetrics,18-30,Consultation
The procedure didn't help much.,0,2024-03-25 11:26:59.485232,Obstetrics,46-60,Procedure
Completely satisfied with the care received. Excellent facilities.,2,2024-03-25 11:26:59.485795,Oncology,61-75,Procedure
The procedure went very well. Minimal waiting time.,2,2024-03-25 11:26:59.486537,Surgery,31-45,Consultation
Excellent treatment results.,2,2024-03-25 11:26:59.490154,Emergency,18-30,Follow-up
Normal wait times. Standard hospital environment.,1,2024-03-26 11:26:59.444621,Pediatrics,18-30,Consultation
Normal wait times! Regular treatment process! The doctor was present when needed.,1,2024-03-26 11:26:59.447620,Pediatrics,61-75,Routine Checkup
"staff member provided excellent care and attention. Additionally, Very comfortable environment. Additionally, Great outcome from the treatment.",2,2024-03-26 11:26:59.447993,Emergency,18-30,Routine Checkup
"healthcare provider did their job as expected. Additionally, Regular facility conditions.",1,2024-03-26 11:26:59.448427,Pediatrics,61-75,Procedure
The receptionist was okay.,1,2024-03-26 11:26:59.450080,Cardiology,61-75,Consultation
Poor treatment experience.,0,2024-03-26 11:26:59.452660,Oncology,46-60,Consultation
"The physician was present when needed. Also, Standard hospital environment. Also, Average waiting time.",1,2024-03-26 11:26:59.452820,General Medicine,75+,Follow-up
"Standard procedure. Also, The staff member was present when needed.",1,2024-03-26 11:26:59.452913,Orthopedics,46-60,Routine Checkup
Impressed with how quickly I was seen.,2,2024-03-26 11:26:59.452978,General Medicine,18-30,Consultation
The staff member was present when needed.,1,2024-03-26 11:26:59.454077,Cardiology,61-75,Emergency
Impressed with how quickly I was seen! Excellent treatment results.,2,2024-03-26 11:26:59.454435,General Medicine,61-75,Procedure
"Cleanliness issues in the facility. Moreover, The medical team didn't address my concerns. Moreover, Unacceptable delays.",0,2024-03-26 11:26:59.455717,Surgery,75+,Consultation
The surgeon was okay! The wait was reasonable! Standard procedure.,1,2024-03-26 11:26:59.457351,Emergency,18-30,Follow-up
The treatment was okay. The doctor was okay.,1,2024-03-26 11:26:59.459767,Pediatrics,31-45,Consultation
No delays in the appointment.,2,2024-03-26 11:26:59.464730,General Medicine,75+,Procedure
Not happy with the results.,0,2024-03-26 11:26:59.466185,Obstetrics,61-75,Consultation
Minimal waiting time.,2,2024-03-26 11:26:59.467750,Cardiology,75+,Follow-up
Regular treatment process.,1,2024-03-26 11:26:59.468455,Oncology,61-75,Emergency
The treatment wasn't effective. Uncomfortable environment. Spent hours waiting.,0,2024-03-26 11:26:59.468897,Pediatrics,18-30,Consultation
Cleanliness issues in the facility.,0,2024-03-26 11:26:59.468969,General Medicine,31-45,Consultation
"Unsatisfactory treatment outcome. Additionally, The waiting time was frustrating.",0,2024-03-26 11:26:59.469888,Pediatrics,18-30,Consultation
"Excellent facilities. Additionally, Very efficient process.",2,2024-03-26 11:26:59.472162,General Medicine,31-45,Follow-up
"The facility was clean and modern. Also, The care team took time to explain everything clearly. Also, Impressed with how quickly I was seen.",2,2024-03-26 11:26:59.473756,Obstetrics,18-30,Follow-up
Treatment was as expected. Regular facility conditions.,1,2024-03-26 11:26:59.478817,Oncology,31-45,Emergency
Poor communication from the specialist.,0,2024-03-26 11:26:59.480448,Emergency,61-75,Routine Checkup
The procedure didn't help much.,0,2024-03-26 11:26:59.481746,Cardiology,75+,Consultation
The surgeon was okay! Waited as expected! Basic but functional facility.,1,2024-03-26 11:26:59.485083,Neurology,46-60,Routine Checkup
Cleanliness issues in the facility. Had to wait too long. The medical team didn't address my concerns.,0,2024-03-26 11:26:59.486418,Oncology,61-75,Procedure
Poor treatment experience.,0,2024-03-26 11:26:59.492626,Emergency,18-30,Follow-up
Very effective treatment.,2,2024-03-27 11:26:59.444250,Neurology,31-45,Routine Checkup
Treatment was as expected.,1,2024-03-27 11:26:59.446662,Pediatrics,18-30,Emergency
Standard hospital environment.,1,2024-03-27 11:26:59.448079,Neurology,75+,Consultation
"Standard hospital environment. Additionally, The medical team was okay. Additionally, The treatment was okay.",1,2024-03-27 11:26:59.450721,Oncology,75+,Follow-up
"Regular facility conditions. Also, The doctor was okay. Also, Regular treatment process.",1,2024-03-27 11:26:59.450906,Cardiology,31-45,Emergency
"The receptionist took time to explain everything clearly. Moreover, Excellent facilities.",2,2024-03-27 11:26:59.452269,Surgery,31-45,Emergency
The treatment was okay.,1,2024-03-27 11:26:59.452291,General Medicine,31-45,Procedure
Regular interaction with the healthcare provider! Regular facility conditions! Regular treatment process.,1,2024-03-27 11:26:59.455019,Pediatrics,31-45,Emergency
Impressed with how quickly I was seen.,2,2024-03-27 11:26:59.456342,Pediatrics,75+,Procedure
"Very efficient process. Also, Well-maintained hospital environment.",2,2024-03-27 11:26:59.457726,Oncology,18-30,Emergency
"The care team was present when needed. Also, Standard hospital environment. Also, Standard procedure.",1,2024-03-27 11:26:59.460621,Obstetrics,75+,Emergency
The facility was clean and modern. Impressed with how quickly I was seen. receptionist provided excellent care and attention.,2,2024-03-27 11:26:59.465072,Obstetrics,18-30,Follow-up
"Waited as expected. Also, Basic but functional facility. Also, surgeon did their job as expected.",1,2024-03-27 11:26:59.465127,Cardiology,46-60,Consultation
Impressed with how quickly I was seen.,2,2024-03-27 11:26:59.467396,Neurology,46-60,Consultation
"Completely satisfied with the care received. Moreover, Very impressed with the surgeon's expertise. Moreover, Very efficient process.",2,2024-03-27 11:26:59.467435,Orthopedics,31-45,Procedure
"Regular facility conditions. Additionally, Treatment was as expected.",1,2024-03-27 11:26:59.467513,Orthopedics,31-45,Follow-up
"The waiting time was frustrating. Additionally, The facility needs updating.",0,2024-03-27 11:26:59.467961,Emergency,75+,Emergency
Treatment was as expected.,1,2024-03-27 11:26:59.473980,Cardiology,46-60,Follow-up
The medical team was present when needed! Regular facility conditions! Normal wait times.,1,2024-03-27 11:26:59.484424,Oncology,18-30,Consultation
The doctor was okay.,1,2024-03-27 11:26:59.489606,Obstetrics,18-30,Emergency
The nurse took time to explain everything clearly.,2,2024-03-27 11:26:59.489847,Obstetrics,31-45,Follow-up
Very comfortable environment.,2,2024-03-28 11:26:59.446981,Pediatrics,31-45,Procedure
"Got seen right away. Also, The facility was clean and modern. Also, Very impressed with the surgeon's expertise.",2,2024-03-28 11:26:59.447513,Surgery,31-45,Procedure
The facility needs updating. The surgeon didn't address my concerns. The procedure didn't help much.,0,2024-03-28 11:26:59.448336,Obstetrics,61-75,Procedure
Regular interaction with the physician! Regular treatment process.,1,2024-03-28 11:26:59.449629,Cardiology,61-75,Emergency
Very comfortable environment! Very effective treatment! No delays in the appointment.,2,2024-03-28 11:26:59.451796,Obstetrics,18-30,Follow-up
"Treatment was as expected. Additionally, Regular interaction with the receptionist.",1,2024-03-28 11:26:59.452228,Orthopedics,61-75,Procedure
The procedure didn't help much. The waiting time was frustrating.,0,2024-03-28 11:26:59.452232,Emergency,31-45,Procedure
Got seen right away. Completely satisfied with the care received.,2,2024-03-28 11:26:59.453810,Surgery,18-30,Consultation
"Not happy with the results. Additionally, Unacceptable delays. Additionally, Poor communication from the staff member.",0,2024-03-28 11:26:59.456011,Pediatrics,46-60,Emergency
"Average waiting time. Additionally, Regular treatment process.",1,2024-03-28 11:26:59.456437,General Medicine,31-45,Follow-up
Great outcome from the treatment.,2,2024-03-28 11:26:59.457884,Oncology,46-60,Procedure
Poor treatment experience! Outdated equipment.,0,2024-03-28 11:26:59.459075,General Medicine,46-60,Follow-up
"Excellent treatment results. Also, Impressed with how quickly I was seen.",2,2024-03-28 11:26:59.459385,Obstetrics,61-75,Follow-up
Very impressed with the doctor's expertise! Completely satisfied with the care received.,2,2024-03-28 11:26:59.459424,Pediatrics,75+,Routine Checkup
The waiting time was frustrating.,0,2024-03-28 11:26:59.464824,Pediatrics,31-45,Consultation
The facility was clean and modern. Impressed with how quickly I was seen. The surgeon was extremely professional and caring.,2,2024-03-28 11:26:59.464902,Orthopedics,31-45,Emergency
"The facility needs updating. Moreover, The procedure didn't help much.",0,2024-03-28 11:26:59.465281,Orthopedics,61-75,Routine Checkup
Disappointed with the staff member's attitude! Unsatisfactory treatment outcome.,0,2024-03-28 11:26:59.466631,Orthopedics,75+,Routine Checkup
surgeon provided excellent care and attention.,2,2024-03-28 11:26:59.467646,Obstetrics,46-60,Follow-up
"Treatment was as expected. Also, Average waiting time. Also, Standard hospital environment.",1,2024-03-28 11:26:59.467976,Surgery,31-45,Procedure
"Basic but functional facility. Additionally, Normal wait times.",1,2024-03-28 11:26:59.471331,Obstetrics,31-45,Follow-up
Very effective treatment.,2,2024-03-28 11:26:59.475230,Orthopedics,18-30,Consultation
Spent hours waiting. Not happy with the results. Outdated equipment.,0,2024-03-28 11:26:59.475356,Emergency,31-45,Emergency
Poor maintenance of the premises.,0,2024-03-28 11:26:59.476520,Neurology,46-60,Procedure
"Great outcome from the treatment. Additionally, Well-maintained hospital environment. Additionally, Very efficient process.",2,2024-03-28 11:26:59.478393,Orthopedics,61-75,Procedure
The nurse was not very helpful.,0,2024-03-28 11:26:59.478798,Surgery,75+,Routine Checkup
"The surgeon didn't address my concerns. Additionally, The waiting time was frustrating. Additionally, Poor treatment experience.",0,2024-03-28 11:26:59.479205,Cardiology,75+,Emergency
The procedure went very well! State-of-the-art equipment.,2,2024-03-28 11:26:59.479306,Emergency,75+,Emergency
The healthcare provider seemed rushed and inattentive! Unsatisfactory treatment outcome! Unacceptable delays.,0,2024-03-28 11:26:59.481252,Obstetrics,18-30,Follow-up
"The treatment was okay. Moreover, Regular facility conditions. Moreover, healthcare provider did their job as expected.",1,2024-03-28 11:26:59.483257,General Medicine,75+,Follow-up
Got seen right away! receptionist provided excellent care and attention! Well-maintained hospital environment.,2,2024-03-28 11:26:59.484743,Cardiology,31-45,Routine Checkup
"Standard procedure. Also, Basic but functional facility.",1,2024-03-28 11:26:59.492084,Pediatrics,61-75,Follow-up
Basic but functional facility. Treatment was as expected.,1,2024-03-29 11:26:59.447910,General Medicine,61-75,Emergency
"Well-maintained hospital environment. Additionally, The receptionist took time to explain everything clearly. Additionally, Impressed with how quickly I was seen.",2,2024-03-29 11:26:59.455069,General Medicine,75+,Consultation
Spent hours waiting.,0,2024-03-29 11:26:59.455340,Cardiology,18-30,Follow-up
Treatment was as expected.,1,2024-03-29 11:26:59.455665,General Medicine,18-30,Routine Checkup
Excellent treatment results.,2,2024-03-29 11:26:59.464077,Pediatrics,18-30,Routine Checkup
Standard hospital environment. receptionist did their job as expected.,1,2024-03-29 11:26:59.467147,Oncology,46-60,Routine Checkup
doctor did their job as expected. The wait was reasonable.,1,2024-03-29 11:26:59.467598,Neurology,18-30,Follow-up
"Well-maintained hospital environment. Moreover, Exceptional service from the specialist.",2,2024-03-29 11:26:59.468581,Neurology,75+,Consultation
"Poor treatment experience. Also, Poor maintenance of the premises. Also, The nurse was not very helpful.",0,2024-03-29 11:26:59.472425,Orthopedics,31-45,Emergency
Uncomfortable environment! Not happy with the results.,0,2024-03-29 11:26:59.476179,Emergency,46-60,Follow-up
"Had to wait too long. Moreover, The facility needs updating. Moreover, The procedure didn't help much.",0,2024-03-29 11:26:59.477593,Orthopedics,46-60,Emergency
"Minimal waiting time. Also, State-of-the-art equipment.",2,2024-03-29 11:26:59.482938,Surgery,61-75,Follow-up
"No delays in the appointment. Also, doctor provided excellent care and attention.",2,2024-03-29 11:26:59.484376,Orthopedics,18-30,Procedure
"The receptionist seemed rushed and inattentive. Also, Had to wait too long. Also, The facility needs updating.",0,2024-03-29 11:26:59.485196,Obstetrics,75+,Procedure
"Outdated equipment. Additionally, The waiting time was frustrating.",0,2024-03-29 11:26:59.487160,Obstetrics,18-30,Procedure
The healthcare provider was okay. Standard hospital environment.,1,2024-03-29 11:26:59.491185,Cardiology,75+,Procedure
"The receptionist was okay. Also, Treatment was as expected. Also, Waited as expected.",1,2024-03-29 11:26:59.491793,Pediatrics,31-45,Procedure
Very comfortable environment.,2,2024-03-30 11:26:59.444442,Pediatrics,46-60,Routine Checkup
The waiting time was frustrating.,0,2024-03-30 11:26:59.444578,Cardiology,31-45,Emergency
"Disappointed with the healthcare provider's attitude. Additionally, The waiting time was frustrating. Additionally, The treatment wasn't effective.",0,2024-03-30 11:26:59.447427,Orthopedics,46-60,Emergency
"No delays in the appointment. Moreover, Great outcome from the treatment. Moreover, The surgeon took time to explain everything clearly.",2,2024-03-30 11:26:59.449751,Surgery,46-60,Emergency
"Outdated equipment. Moreover, The doctor was not very helpful. Moreover, Excessive waiting time.",0,2024-03-30 11:26:59.449963,Cardiology,31-45,Procedure
Very effective treatment.,2,2024-03-30 11:26:59.450843,Emergency,18-30,Emergency
The treatment was okay. The doctor was present when needed. The wait was reasonable.,1,2024-03-30 11:26:59.452242,Surgery,18-30,Routine Checkup
care team did their job as expected.,1,2024-03-30 11:26:59.452247,Surgery,61-75,Emergency
"Poor treatment experience. Moreover, Excessive waiting time.",0,2024-03-30 11:26:59.453591,Orthopedics,61-75,Follow-up
The physician was okay. The wait was reasonable.,1,2024-03-30 11:26:59.456215,Emergency,46-60,Follow-up
Excellent treatment results. physician provided excellent care and attention.,2,2024-03-30 11:26:59.456695,Cardiology,75+,Consultation
"Acceptable cleanliness. Moreover, Standard procedure. Moreover, Average waiting time.",1,2024-03-30 11:26:59.458433,Neurology,75+,Emergency
"The treatment was okay. Moreover, The receptionist was okay. Moreover, Normal wait times.",1,2024-03-30 11:26:59.461531,Orthopedics,61-75,Procedure
Very effective treatment.,2,2024-03-30 11:26:59.466218,Pediatrics,31-45,Routine Checkup
"Minimal waiting time. Additionally, care team provided excellent care and attention.",2,2024-03-30 11:26:59.472817,General Medicine,18-30,Follow-up
Very efficient process. Excellent treatment results.,2,2024-03-30 11:26:59.474540,Cardiology,18-30,Routine Checkup
Standard hospital environment.,1,2024-03-30 11:26:59.474992,Cardiology,75+,Follow-up
Standard hospital environment.,1,2024-03-30 11:26:59.476500,Surgery,46-60,Procedure
"The physician seemed rushed and inattentive. Also, Unsatisfactory treatment outcome. Also, Cleanliness issues in the facility.",0,2024-03-30 11:26:59.477713,Surgery,61-75,Routine Checkup
Completely satisfied with the care received.,2,2024-03-30 11:26:59.478525,Pediatrics,31-45,Procedure
The surgeon was okay.,1,2024-03-30 11:26:59.479185,Neurology,18-30,Consultation
Cleanliness issues in the facility. Had to wait too long.,0,2024-03-30 11:26:59.479362,Surgery,75+,Follow-up
"The doctor was extremely professional and caring. Additionally, The facility was clean and modern. Additionally, Very effective treatment.",2,2024-03-30 11:26:59.483193,Surgery,46-60,Consultation
"Uncomfortable environment. Additionally, Had to wait too long. Additionally, Poor communication from the doctor.",0,2024-03-30 11:26:59.483611,Emergency,75+,Procedure
The procedure didn't help much! Poor communication from the care team! Excessive waiting time.,0,2024-03-30 11:26:59.487004,General Medicine,46-60,Emergency
Unsatisfactory treatment outcome! Poor maintenance of the premises.,0,2024-03-30 11:26:59.489008,Pediatrics,61-75,Procedure
"Basic but functional facility. Moreover, The staff member was present when needed.",1,2024-03-30 11:26:59.490003,Pediatrics,18-30,Consultation
"Minimal waiting time. Additionally, Excellent treatment results.",2,2024-03-30 11:26:59.490519,Neurology,46-60,Consultation
State-of-the-art equipment.,2,2024-03-30 11:26:59.491686,Pediatrics,61-75,Consultation
"Poor treatment experience. Additionally, The waiting time was frustrating. Additionally, Uncomfortable environment.",0,2024-03-30 11:26:59.492867,Obstetrics,61-75,Follow-up
The facility was clean and modern. Impressed with how quickly I was seen.,2,2024-03-31 11:26:59.444192,Pediatrics,61-75,Procedure
The doctor didn't address my concerns.,0,2024-03-31 11:26:59.447614,Surgery,61-75,Procedure
Poor treatment experience! The waiting time was frustrating! Outdated equipment.,0,2024-03-31 11:26:59.449378,General Medicine,75+,Follow-up
nurse provided excellent care and attention.,2,2024-03-31 11:26:59.450516,Surgery,75+,Consultation
Minimal waiting time.,2,2024-03-31 11:26:59.452500,Emergency,75+,Routine Checkup
Unacceptable delays.,0,2024-03-31 11:26:59.452982,Obstetrics,46-60,Follow-up
"Poor maintenance of the premises. Also, The medical team was not very helpful. Also, The waiting time was frustrating.",0,2024-03-31 11:26:59.453476,Oncology,18-30,Emergency
The wait was reasonable.,1,2024-03-31 11:26:59.453518,Emergency,46-60,Emergency
Cleanliness issues in the facility.,0,2024-03-31 11:26:59.454043,Orthopedics,18-30,Procedure
Well-maintained hospital environment.,2,2024-03-31 11:26:59.454869,General Medicine,31-45,Follow-up
Poor maintenance of the premises.,0,2024-03-31 11:26:59.457317,Neurology,61-75,Routine Checkup
Acceptable cleanliness.,1,2024-03-31 11:26:59.457480,Emergency,31-45,Procedure
"The specialist was present when needed. Moreover, Regular treatment process. Moreover, Standard hospital environment.",1,2024-03-31 11:26:59.463329,Pediatrics,46-60,Emergency
Poor maintenance of the premises.,0,2024-03-31 11:26:59.465539,Orthopedics,31-45,Procedure
specialist provided excellent care and attention! Well-maintained hospital environment.,2,2024-03-31 11:26:59.465637,Obstetrics,75+,Consultation
The doctor was okay! Waited as expected! Standard hospital environment.,1,2024-03-31 11:26:59.468468,Emergency,61-75,Routine Checkup
